Date,Price,Open,High,Low,Vol.,Change %
09/25/2013,152.33,151.36,154.36,150.36,299.53K,1.12%
09/24/2013,150.65,155.85,156.36,149.09,1.22M,-2.91%
09/23/2013,155.16,154.86,157.36,153.91,280.61K,0.02%
09/20/2013,155.13,159.55,161.36,151.92,953.70K,-1.87%
09/19/2013,158.08,151.08,158.08,150,1.76M,5.00%
09/18/2013,150.55,144.55,151.45,142.27,695.09K,4.37%
09/17/2013,144.24,146.36,146.82,142.96,378.84K,-0.63%
09/16/2013,145.16,139.55,145.16,139.09,186.67K,5.00%
09/13/2013,138.25,140.73,140.73,136.36,41.14K,-1.85%
09/12/2013,140.85,140,142.27,139.55,50.49K,0.92%
09/11/2013,139.56,140.91,141.36,139.21,20.79K,-1.20%
09/10/2013,141.25,142.73,143.91,140.91,26.07K,-0.95%
09/09/2013,142.61,143.64,145.45,142.32,483.01K,-0.81%
09/06/2013,143.77,146.36,146.36,143.64,41.25K,-2.96%
09/05/2013,148.16,143.91,149.09,142.73,509.08K,3.16%
09/04/2013,143.62,141.82,144.27,141.82,45.21K,0.62%
09/03/2013,142.73,141.14,144.45,141.14,30.03K,0.51%
09/02/2013,142,143.86,145.45,140.45,592.57K,-2.24%
08/30/2013,145.25,147.27,147.27,141.91,585.09K,1.04%
08/29/2013,143.75,139.09,144.55,138.73,158.29K,3.92%
08/28/2013,138.33,141.14,141.36,137.41,205.04K,-3.03%
08/27/2013,142.65,146.37,146.92,141.82,30.80K,-3.14%
08/26/2013,147.28,150,150,146.82,40.70K,-1.48%
08/23/2013,149.5,147.73,150.91,147.73,161.04K,1.46%
08/22/2013,147.35,143.64,150.91,142.73,750.20K,2.21%
08/21/2013,144.16,144.55,145.45,143.32,334.62K,-0.64%
08/20/2013,145.09,146.36,147.27,141.82,197.12K,-0.52%
08/19/2013,145.85,148.18,148.18,145.45,51.70K,-1.74%
08/16/2013,148.43,148.55,149.9,147.73,123.20K,-0.11%
08/15/2013,148.6,147.27,150.89,147.27,210.10K,0.99%
08/13/2013,147.15,147.36,149.09,146.36,202.84K,-0.28%
08/12/2013,147.56,150,150.9,146.35,236.06K,-1.72%
08/07/2013,150.15,148.18,151.82,146.05,280.39K,1.84%
08/06/2013,147.44,145.45,149.08,143.82,295.90K,1.65%
08/05/2013,145.05,158.18,158.18,144.58,486.53K,-4.69%
08/01/2013,152.19,155.45,159.97,149.32,885.61K,-1.78%
07/31/2013,154.95,151.91,155.45,149.45,1.06M,1.97%
07/30/2013,151.95,151.59,153.59,144.32,493.79K,0.03%
07/29/2013,151.91,151.81,152.73,149.09,400.84K,0.45%
07/26/2013,151.23,151.35,154.55,150,340.78K,0.16%
07/25/2013,150.99,155.45,155.45,149.09,490.38K,-2.48%
07/24/2013,154.83,152.27,156.36,151.36,798.60K,2.70%
07/23/2013,150.76,149.59,151.82,147.74,344.19K,1.05%
07/22/2013,149.2,148,152.59,145.45,615.78K,2.02%
07/19/2013,146.25,140.23,146.41,140.23,975.04K,4.88%
07/18/2013,139.45,136.36,141.09,132.73,1.15M,2.91%
07/17/2013,135.51,137.73,139.55,132.27,616.88K,-0.77%
07/16/2013,136.56,137.27,139.91,135.95,1.09M,0.89%
07/15/2013,135.35,130.91,137.03,130.02,1.86M,3.71%
07/12/2013,130.51,127.27,130.91,125.91,258.17K,2.33%
07/11/2013,127.54,123.64,130,123.64,595.65K,2.32%
07/10/2013,124.65,121.82,127.39,121.45,391.05K,2.74%
07/09/2013,121.33,116.27,121.33,116.27,506.22K,5.00%
07/08/2013,115.55,118.14,118.18,115.45,392.04K,-2.11%
07/05/2013,118.04,115.45,119.09,115.45,414.15K,2.60%
07/04/2013,115.05,112.82,115.45,112.27,485.87K,2.35%
07/03/2013,112.41,113.64,114.09,111.82,94.49K,-0.37%
